graph,num_nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
BsonetEurope.graphml,14,Beacon Nodes,5.0409,32.1346,0.1083,0.0,1.3738
BsonetEurope.graphml,14,Global Controller,15.1297,30.6842,0.119,0.0,1.3738
BsonetEurope.graphml,14,PrioList,4.9763,19.9041,0.0901,0.0,1.3738
BsonetEurope.graphml,14,Simple Decomposition,4.7832,26.5786,0.114,0.0,1.3738
BsonetEurope.graphml,14,Super Trees,5.0852,29.9085,0.2224,0.4484,1.6712
BtAsiaPac.graphml,15,Beacon Nodes,4.7678,29.6257,0.1392,0.0,1.0801
BtAsiaPac.graphml,15,Global Controller,5.0105,30.0921,0.1368,0.0,1.0801
BtAsiaPac.graphml,15,PrioList,4.8527,23.395,0.0901,0.0,1.0801
BtAsiaPac.graphml,15,Simple Decomposition,5.081,22.5771,0.0906,0.0,1.0801
BtAsiaPac.graphml,15,Super Trees,5.2977,28.0291,0.2941,0.2823,1.3751
BtNorthAmerica.graphml,33,Beacon Nodes,20.9551,43.129,0.0118,0.0,2.382
BtNorthAmerica.graphml,33,Global Controller,26.5154,53.4012,0.0383,0.2041,2.382
BtNorthAmerica.graphml,33,PrioList,19.2392,46.5818,0.0092,0.0,2.382
BtNorthAmerica.graphml,33,Simple Decomposition,24.5318,52.4617,0.011,0.0,2.382
BtNorthAmerica.graphml,33,Super Trees,21.5287,45.9934,0.0166,0.2823,1.7773
Canerie.graphml,24,Beacon Nodes,6.6936,33.4548,0.105,0.2823,1.4909
Canerie.graphml,24,Global Controller,12.907,32.8026,0.0903,0.3848,1.4909
Canerie.graphml,24,PrioList,6.9593,38.8413,0.083,0.2041,1.4909
Canerie.graphml,24,Simple Decomposition,12.938,38.7843,0.1072,0.2041,1.4909
Canerie.graphml,24,Super Trees,6.5911,53.5411,0.298,0.7729,3.4087
Carnet.graphml,41,Beacon Nodes,2.3788,24.3062,0.0622,0.0,0.4815
Carnet.graphml,41,Global Controller,2.304,17.7617,0.066,0.0,0.4815
Carnet.graphml,41,PrioList,1.9209,21.1904,0.0573,0.0,0.4815
Carnet.graphml,41,Simple Decomposition,1.9666,22.875,0.0587,0.0,0.4815
Carnet.graphml,41,Super Trees,2.1771,17.0634,0.0475,0.0,0.4815
Cernet.graphml,36,Beacon Nodes,21.8177,50.0511,0.0672,0.2041,1.6116
Cernet.graphml,36,Global Controller,25.2174,49.9183,0.0737,0.2041,1.6116
Cernet.graphml,36,PrioList,22.0019,36.5287,0.0673,0.0,1.6116
Cernet.graphml,36,Simple Decomposition,21.8513,45.8393,0.0593,0.0,1.6116
Cernet.graphml,36,Super Trees,22.5991,48.1144,0.2012,0.5647,2.4715
Cesnet1993.graphml,9,Beacon Nodes,0.7118,14.8452,0.0611,0.0,0.2823
Cesnet1993.graphml,9,Global Controller,0.6743,14.2834,0.0401,0.0,0.2823
Cesnet1993.graphml,9,PrioList,0.9093,18.6233,0.0396,0.0,0.2823
Cesnet1993.graphml,9,Simple Decomposition,0.5417,19.1136,0.0408,0.0,0.2823
Cesnet1993.graphml,9,Super Trees,0.6473,19.1644,0.0586,0.0,0.2823
Cesnet1999.graphml,11,Beacon Nodes,1.206,16.7447,0.0613,0.0,0.3807
Cesnet1999.graphml,11,Global Controller,1.2498,19.4606,0.057,0.0,0.3807
Cesnet1999.graphml,11,PrioList,1.2058,9.427,0.0531,0.0,0.3807
Cesnet1999.graphml,11,Simple Decomposition,1.263,12.4087,0.0494,0.0,0.3807
Cesnet1999.graphml,11,Super Trees,1.1571,10.6727,0.0509,0.0,0.3807
Cesnet2001.graphml,20,Beacon Nodes,3.351,17.5519,0.0749,0.0,0.7661
Cesnet2001.graphml,20,Global Controller,3.475,22.2913,0.0612,0.0,0.7661
Cesnet2001.graphml,20,PrioList,3.7366,11.8493,0.0816,0.0,0.7661
Cesnet2001.graphml,20,Simple Decomposition,3.8004,11.0787,0.0774,0.0,0.7661
Cesnet2001.graphml,20,Super Trees,3.3618,24.6795,0.1996,0.5647,0.9964
Cesnet200304.graphml,26,Beacon Nodes,8.4531,30.4985,0.107,0.0,0.8165
Cesnet200304.graphml,26,Global Controller,8.403,30.8884,0.1176,0.0,0.8165
Cesnet200304.graphml,26,PrioList,8.4293,37.8085,0.1192,0.0,0.8165
